Medumba,French
tàŋwa',sequelle de la variole
tûswə,honte
tǎtu,entêtement
tǔtǔ,pie
tǎtɔ̀ngɔ̀,tyranie
ta,père
ta',panier
ta' mɛ̀nnzwi,répudier une femme
ta nà,trahir
tad,trois
tadtə,mentir
tadtə̀,mensonge
tagə,gâteau de maïs
tamə,jouer
tam kə̀shʉ,sangloter
tam tu,fruit
tamka,cuvette
tamngə̂dtʉ,payé cousu
tata,calcul
tayαb,addition
to',boîte
togə,mourir
tomə,tambour
tsə,disette
tsə́,siens
tsə̂,ses
tsə̄,que
tsə̂bə̀,nôtres
tsə ndα,être célibataire
tsiàŋtə̀,joie
tsîd,quels
tsìdnsa,sorte de souris zébrée des champs
tsilə,casser
tsîlə,lesquels
tsin,point
tsîn,vos
tsin mbɛdtə,point d'interrogation
tsin mbâgtə,deux points
tsin mfaŋə,points de suspension
tsin ncαmə,point d'exclamation
tsin ndô nùm nka,point à la ligne
tsin njâ',station de l'enfant qui apprend à se tenir debout
tsin nkαgə,points de suspension
tsin nsôŋə,point tiret
tsin ntʉntə,deux points
tsin nzwiαgə,point virgule
tsin yòŋncʉ̀',point final
tsətə̀,asthme
tsətαn,ver intestinal en général
tsətὰn,grillon
tsínə́,vôtres
tswə'ə,piler
tswə' cûncobə,groupe de mots
tswə̂'kə̀lɔ̀,banane pilée
tswə fogə,rite sur le veuvage
tswə'kum,comité
tswǐ lɛ̌n,donner un nom
tswidtə,ramasser
ú,ton
vʉ,mort
vʉ̌ vʉ,être dans le coma
vɛ̀dtə̀,tremblote
vɛ̀dtə̌,grelotter
vɛ̂nnyὰm,zèbre
vɔg,être court
vògtə̀,agitation
vɔk,os
vênnyam,zèbre
vogə,os
wə,qui
wǎ ŋwà'nì,librairie
wud,corps
wǎf,pharmacie
wo,tu
yi,il
yu,pour toi
yù,tien
yû,ton
yα̂g,notre
yα̂m,mon
yə̂n,ce
yɛ̀nə,abandonner
yùb,leur
yûb,leur
yūb,leur
yαbə,mettre
yαb bu,toucher
yαb le'e,fixer le jour
yαb lɛn,donner un nom
yαb nù,faire attention
yαb nùm ca'a,attérir
yαb nùm ntsə,amerrir
yαb ngə',faire souffrir
yαb vʉ,projeter le jour du deuil
yᾱg,nôtre
yògwud,filariose
yὰm,mien
yen,voir
yənə,voir
yəndîn,celui-là
yânkaŋmiαg,blépharite
yənnî,celui-ci
yənnα,celui-là
yənnkî,copier
yântʉ,fâcherie
yəntə̀,aliénation
yəntə̀sə,miroir
yəntəfə̀,papier transparent
yàŋbαn,mortier
yâtu,maux de têtes
yάg,nôtre
yάgə́,notre
yάm,mien
ya' nka',exagérer
ya'a,sauter
yagə,bâiller
yaŋə,rouler
yaŋbà',voiture
yaŋbǎ' ghòn,ambulance
yaŋbǎ'mfə,corbillard
yaŋkàg,brouette
yaŋka,brouette
yaŋtə,rouler plusieur fois
yú,tien
yúbə́,leur
ywi',piège
ywi'i,vomir
ywɛ̀d,asticot
ywìmtə̀,assistance
ɲàm,derrière
zə,route
zi,dormir
zǐ,commencer
zə́,sien
zə̀,son
zə̂,son
zə̄,sien
zi'i,apprendre
zə̌ vʉ,finir les funérailles
zə̀bə̀,nôtre
zə̂bə̀,nôtre
ziαgə,totem
zə̂nù,sagesse
zə̀ntsə,jeûne
zǐcə̌'nkù,caleçon
zîd,quel
zǐkum,sous-vêtement
zǐkob,élastique
zîlə,lequel
zimə,tourbillon
zim mù,finir la veillée
zìn,colle
zîn,votre
zīn,vôtre
zǐnkəto'o,chaussette
zǐnzwə,jupon
zətə̀,malice
zǐzǐ,oiseau gendarme
zínə́,vôtre
zú,manger
zwə,angoisse
zwi,tuer
zwǐ,rire
zwə',rein
zwə̌,être amer
zwə̀',bagarre
zwiὰg,respiration
zwə'nə̀ya,maux de reins
zwə̂ntʉ,colère
zwə’nzwə’ə,sorte de moucheron
zwi'tə,écouter
zwi'tə ncù,agoniser
zwiaŋtə̀,démence
bǐn zi à ?,bonjour à vous
